,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,14,16,.467,-3.76,-5.42,,10,10,,11,4,,3,10,,2098,1984,,1215,727,1726,.421,200,653,.306,330,453,.728,291,1005,390,260,109,479,534
2,Air Force,32,15,17,.469,-3.45,0.25,,8,10,,10,6,,5,8,,2025,2121,,1285,756,1711,.442,137,438,.313,472,622,.759,351,1236,334,255,119,614,464
3,Akron,29,11,18,.379,-9.42,-5.63,,6,12,,5,8,,5,9,,1807,1917,,1190,715,1686,.424,173,557,.311,314,455,.690,318,1052,402,226,96,434,486
4,Alabama NCAA,34,24,10,.706,21.78,10.84,,10,6,,15,3,,6,5,,2487,2115,,1360,792,2024,.391,158,541,.292,373,536,.696,429,1225,415,252,146,580,609
5,Alabama A&M,31,15,16,.484,-12.23,-11.10,,10,8,,10,4,,4,10,,1914,1918,,1250,682,1726,.395,144,441,.327,410,575,.713,346,1115,343,268,102,538,552
6,Alabama State,29,3,26,.103,-27.67,-3.64,,3,15,,1,9,,2,17,,1431,2128,,1160,748,1760,.425,138,453,.305,492,701,.702,427,1211,432,355,117,437,463
7,Albany (NY),32,25,7,.781,-3.26,-10.26,,13,3,,14,2,,11,5,,1949,1641,,1280,618,1652,.374,146,528,.277,259,370,.700,299,910,313,241,106,487,516
8,Alcorn State,32,12,20,.375,-16.11,-5.89,,8,10,,7,5,,3,14,,1731,2015,,1280,666,1787,.373,176,597,.295,507,764,.664,384,1170,374,313,86,465,563
9,American,30,10,20,.333,-14.33,-9.09,,8,10,,5,10,,5,10,,1823,1980,,1210,719,1686,.426,158,521,.303,384,536,.716,314,1090,373,251,93,498,500
10,Appalachian State,32,17,15,.531,-2.73,-1.48,,9,9,,10,3,,4,11,,2310,2350,,1285,865,2041,.424,184,551,.334,436,614,.710,422,1314,400,262,108,573,636
11,Arizona NCAA,34,18,16,.529,21.25,17.17,,8,10,,10,5,,4,7,,2376,2237,,1400,810,1908,.425,206,652,.316,411,604,.680,405,1217,457,248,116,669,563
12,Arizona State,31,11,20,.355,7.78,16.42,,3,15,,7,9,,1,9,,1905,2173,,1250,796,1858,.428,195,604,.323,386,549,.703,430,1300,492,165,151,464,489
13,Arkansas,33,18,15,.545,12.72,12.09,,6,10,,11,6,,4,7,,2292,2271,,1320,858,2146,.400,211,656,.322,344,476,.723,402,1439,462,209,109,485,597
14,Arkansas State,30,13,17,.433,-2.46,-2.25,,6,12,,10,7,,3,9,,1990,1916,,1210,715,1764,.405,191,633,.302,295,404,.730,338,1082,400,160,71,451,494
15,Arkansas-Pine Bluff,33,17,16,.515,-4.93,-6.12,,11,7,,8,4,,8,8,,2409,2237,,1327,766,2013,.381,173,594,.291,532,775,.686,416,1285,462,266,103,614,644
16,Army,29,12,17,.414,-15.32,-9.81,,9,9,,7,9,,5,8,,1717,1806,,1160,678,1531,.443,135,433,.312,315,436,.722,242,958,396,215,138,466,398
17,Auburn NCAA,32,20,12,.625,19.91,12.35,,8,8,,14,3,,5,7,,2124,1882,,1280,652,1717,.380,126,446,.283,452,622,.727,342,1165,290,241,109,656,592
18,Austin Peay,33,17,16,.515,-4.52,-5.98,,8,8,,9,8,,6,8,,2055,1986,,1335,701,1811,.387,172,530,.325,412,588,.701,334,1062,348,265,93,502,569
19,Ball State,34,28,6,.824,8.95,-2.05,,16,2,,13,2,,12,3,,2472,2072,,1370,773,1870,.413,195,604,.323,331,478,.692,326,1183,429,231,78,657,579
20,Baylor NCAA,34,26,8,.765,28.24,13.86,,12,6,,14,2,,7,4,,2544,2055,,1360,775,1956,.396,156,594,.263,349,507,.688,303,1121,396,254,111,624,581
