,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,14,16,.467,-3.76,-5.42,,10,10,,11,4,,3,10,,2098,1984,,1215,739,1799,.411,258,847,.305,362,504,.718,392,1141,427,230,54,482,491
2,Air Force,32,15,17,.469,-3.45,0.25,,8,10,,10,6,,5,8,,2025,2121,,1285,750,1963,.382,205,660,.311,320,425,.753,368,1031,396,347,71,473,604
3,Akron,29,11,18,.379,-9.42,-5.63,,6,12,,5,8,,5,9,,1807,1917,,1190,656,1693,.387,172,590,.292,323,449,.719,351,1064,355,175,75,472,454
4,Alabama NCAA,34,24,10,.706,21.78,10.84,,10,6,,15,3,,6,5,,2487,2115,,1360,892,2054,.434,249,711,.350,454,638,.712,451,1322,441,286,153,512,535
5,Alabama A&M,31,15,16,.484,-12.23,-11.10,,10,8,,10,4,,4,10,,1914,1918,,1250,703,1835,.383,123,439,.280,385,559,.689,429,1196,346,249,92,542,510
6,Alabama State,29,3,26,.103,-27.67,-3.64,,3,15,,1,9,,2,17,,1431,2128,,1160,517,1551,.333,116,473,.245,281,438,.642,311,963,290,201,114,665,604
7,Albany (NY),32,25,7,.781,-3.26,-10.26,,13,3,,14,2,,11,5,,1949,1641,,1280,716,1659,.432,176,483,.364,341,471,.724,353,1100,428,235,120,495,420
8,Alcorn State,32,12,20,.375,-16.11,-5.89,,8,10,,7,5,,3,14,,1731,2015,,1280,623,1711,.364,107,436,.245,378,589,.642,321,1125,369,243,102,569,621
9,American,30,10,20,.333,-14.33,-9.09,,8,10,,5,10,,5,10,,1823,1980,,1210,686,1713,.400,126,488,.258,325,473,.687,304,1008,426,248,47,496,538
10,Appalachian State,32,17,15,.531,-2.73,-1.48,,9,9,,10,3,,4,11,,2310,2350,,1285,795,2052,.387,237,769,.308,483,705,.685,440,1251,410,291,95,564,598
